id,obj_count,trigger_count,portal_count,x_min,x_max,y_min,y_max,stars
5017264,11400,257,22,300.75,22294.9,1.0,735.0,5
83652253,88460,3670,56,-29.0,28676.0,-180.0,2400.0,7
55215779,24183,3078,70,-29.0,28635.0,-180.0,2265.0,2
67821476,72292,1391,145,-29.0,25087.8,75.0,2235.0,8
83294687,107849,6802,112,-194.0,40395.0,-180.0,2385.0,10
15718315,7812,4725,9,1.0,20062.5,-23.0,1800.0,4
29012340,16445,288,217,-29.0,21024.0,-135.0,1129.75,4
28601858,12517,600,33,-291.0,19858.7,-95.5,1335.0,2
29103993,48800,1754,44,-29.0,25335.0,-180.0,1455.0,7
50360796,59764,499,30,-29.0,16845.0,-153.073,1905.0,5
11664153,8614,1106,48,273.713,21267.0,-2633.5,3951.5,1
837852,6464,60,50,310.5,28229.0,1.0,1395.0,1
7398966,19313,1294,13,-90.0,30089.2,2.0,1425.0,3
61757,2283,33,6,435.0,26355.0,2.0,1065.0,4
11534553,12237,314,65,15.0,30555.0,-135.0,1575.0,1
59892507,21320,611,25,-29.0,26609.0,-153.24,1515.0,6
32993087,20304,977,45,-29.0,25995.0,-180.0,1125.0,9
11360630,9780,359,21,1.0,20835.0,-165.0,1785.0,9
63153955,33455,1754,15,-29.0,19919.3,-175.0,2400.0,7
58558910,36868,2088,93,-29.0,27165.0,-180.0,2362.5,10
806706,4269,28,65,315.0,28635.0,-4.5,1195.0,1
80736286,180486,12424,86,-29.0,39615.0,-440.0,2400.0,10
1174225,2712,15,3,465.0,26415.0,2.5,585.0,2
92704715,113568,5805,152,-29.0,49905.0,-180.0,2385.0,10
88266256,39994,2558,71,-29.0,27857.6,-1331.44,2385.0,5
56590379,16992,1240,51,-29.0,20631.0,-180.0,1905.0,5
46823268,27553,1558,46,-29.0,29459.5,-165.0,1275.0,6
56703691,267211,4426,206,-29.0,65940.0,-180.0,2400.0,10
38348152,38053,1247,50,-29.0,20712.3,-180.0,2400.0,2
13059832,6746,1990,320,1.0,22826.7,-150.0,1695.0,2
11208388,7732,999,30,0.75,28725.0,-135.0,915.0,5
59767,2539,20,3,495.0,26361.0,1.0,465.0,3
12341888,20853,2739,83,15.0,42075.0,-45.0,885.0,8
137573,1279,3,4,435.0,18405.0,15.0,285.0,2
71970437,19375,439,13,-285.0,16425.0,-180.0,2122.5,3
6431528,9742,1295,29,405.0,18349.3,2.0,795.0,2
32338202,7009,1131,41,-29.0,29175.0,-180.0,1229.81,3
78957052,37836,2537,53,-29.0,42635.5,-180.0,1875.0,9
11398172,23074,544,15,1.0,20801.0,-172.5,1095.0,9
25674590,46920,4587,302,-2302.06,71010.0,-176.0,1875.0,1
36107975,82508,4303,117,-29.0,63165.0,-166.0,2374.0,10
4454123,6182,64,6,419.0,25515.0,1.0,555.0,2
35669648,78170,4155,61,-29.0,28398.3,-180.0,2385.0,10
40751958,18017,300,60,-15.0,24345.0,-165.0,2400.0,6
142845,4309,117,39,315.0,24859.0,1.0,1125.0,1
32586330,11353,278,25,-29.0,16995.0,-180.0,1383.0,3
36080060,32523,556,41,15.0,24677.0,-180.0,2247.0,9
34447420,17804,207,16,-29.0,19647.2,-165.0,1056.75,2
39368204,24275,196,1,-29.0,21405.0,-45.0,1415.0,1
51420551,36438,2822,58,-29.0,26625.0,-165.0,2295.0,6
45063264,42901,3249,50,-29.0,25550.1,-170.0,1324.71,9
56607302,96825,3349,230,-29.0,25635.0,-180.0,2393.0,8
60878509,150668,7632,405,-29.0,130725.0,-180.0,2400.0,10
62932710,65775,5009,67,-15.0,44214.0,-180.0,2385.0,10
56850761,40623,459,52,-29.0,26765.0,45.0,1609.75,8
45706143,29791,1213,53,-29.0,25965.0,-171.0,1793.52,7
93369357,33590,2329,84,-29.0,28394.3,-165.0,2385.0,8
66133800,40000,1780,27,-29.0,24465.0,-180.0,2085.0,10
33807439,113654,4859,126,-29.0,29685.0,-180.0,2115.5,10
24962941,7103,572,30,1.0,18639.2,-180.0,1505.92,5
61061511,63439,455,32,-29.0,23427.0,15.0,1725.0,5
47234639,33122,241,166,15.0,20805.0,-165.0,2325.0,8
88901565,36841,1906,102,-29.0,24930.0,-177.0,2325.0,7
67839652,35246,543,13,-29.0,16575.0,15.0,1715.0,8
66144274,21043,2709,1,-29.0,23925.0,-180.0,2385.0,1
90979159,57131,3639,29,-29.0,33678.3,-180.0,2360.11,7
48094983,39995,1455,80,-29.0,27175.0,-149.421,2386.0,6
60179265,38490,1642,28,-29.0,22755.0,-180.0,2310.0,8
13480854,3770,307,10,1.0,19845.0,-52.5,705.0,3
69354386,18330,1673,34,-29.0,22729.6,-78.3651,2350.98,5
55320441,26107,1169,39,-29.0,19104.8,-165.0,2385.0,5
13735881,12370,528,1,1.0,20273.0,-165.0,1035.0,1
34684470,22762,531,35,15.0,22169.6,-168.5,801.213,5
42986230,23647,858,20,-29.0,17852.0,-165.0,1275.0,2
68668045,17566,549,18,-29.0,58125.0,-15.0,2400.0,10
36054065,23475,700,58,-29.0,22989.6,-178.0,1245.0,6
69069448,25478,259,33,-29.0,17385.0,-165.0,1257.0,2
31533991,10835,963,15,-29.0,19275.0,-180.0,1710.0,3
23154530,20610,4808,4,-29.0,49695.0,-180.0,1725.0,1
12962585,16162,395,7,1.0,25245.0,-135.0,1545.0,1
24911156,18533,1077,51,1.0,26835.0,-330.0,1185.0,5
5719010,15898,362,26,301.0,25505.0,1.0,735.0,7
85596448,82328,2992,133,-29.0,38625.0,-180.0,1665.0,8
62756354,9996,647,15,-29.0,20217.0,-165.0,2384.0,4
11113225,16358,280,24,45.0,31745.0,-165.0,945.0,8
27091198,7617,181,8,-402.751,16245.0,-165.0,630.0,2
66982422,50434,3166,341,-29.0,31155.0,-180.0,2310.0,9
50865104,40462,1165,75,-29.0,18998.2,-180.0,2400.0,7
55161747,46860,2441,117,-29.0,32820.0,-180.0,2325.0,7
156124,835,44,11,315.0,9615.0,-3.0,765.0,2
1694003,9765,395,9,15.0,36225.0,-180.0,1676.0,6
49191804,31608,1156,101,-29.0,27681.7,-180.0,2300.7,6
25190466,6617,240,21,1.0,17147.7,-85.0,825.0,3
38857027,39137,826,65,-29.0,32609.3,-165.0,1409.0,8
57061521,19462,1925,0,-29.0,19275.0,-180.0,1455.0,2
17760092,11269,228,28,1.0,18110.0,-150.0,585.0,3
12872593,21822,419,18,1.0,19259.0,-76.015,1665.0,3
87236826,73185,314,16,-29.0,17104.2,-165.0,2385.0,2
35418014,73517,2844,182,-29.0,64293.5,-54.3043,2385.0,10
59593470,20998,915,45,-29.0,21885.0,-180.0,2130.0,5
1132530,9743,211,30,465.0,31635.0,1.0,825.0,9
58711844,59911,1956,99,-29.0,27978.0,-180.0,2310.0,8
90053107,84362,2652,73,-29.0,24811.0,-180.0,2362.31,8
