timestamp_utc,tag,sweep_param,sweep_value,hidden_size,batch_size,lr,weight_decay,epochs_stage1,epochs_stage2,l1_lambda,n_select,loss,huber_beta,seed,selected_feature_count,val_loss,val_acc,val_off_by_one,test_loss,test_acc,test_off_by_one
20260309T054930Z,sweep_lr,lr,1e-5,128,8,1e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.06355354746403964,0.2591093117408907,0.631578947368421,0.046708580498632635,0.2834008097165992,0.6963562753036437
20260309T055140Z,sweep_lr,lr,3e-5,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05830147842073489,0.291497975708502,0.7004048582995951,0.038582638328374635,0.3117408906882591,0.7530364372469636
20260309T055459Z,sweep_lr,lr,1e-4,128,8,0.0001,0.0,100,100,0.001,25,mse,1.0,42,25,0.05596212075216326,0.31983805668016196,0.728744939271255,0.03995835540537168,0.29554655870445345,0.7732793522267206
20260309T060755Z,sweep_lr,lr,3e-4,128,8,0.0003,0.0,100,100,0.001,25,mse,1.0,42,25,0.05336065134146677,0.2834008097165992,0.7408906882591093,0.036577720104562124,0.3157894736842105,0.7773279352226721
20260309T061141Z,sweep_lr,lr,1e-3,128,8,0.001,0.0,100,100,0.001,25,mse,1.0,42,25,0.054246440658021554,0.2834008097165992,0.7044534412955465,0.03708705129592042,0.3441295546558704,0.7611336032388664
20260309T061944Z,sweep_batch,batch_size,4,128,4,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.058648024672483985,0.2834008097165992,0.7165991902834008,0.03898972750976983,0.2874493927125506,0.7732793522267206
20260309T062318Z,sweep_batch,batch_size,8,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05830147842073489,0.291497975708502,0.7004048582995951,0.038582638328374635,0.3117408906882591,0.7530364372469636
20260309T062514Z,sweep_batch,batch_size,16,128,16,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05686750343665179,0.29554655870445345,0.7044534412955465,0.039297398715185734,0.3117408906882591,0.7611336032388664
