timestamp_utc,tag,sweep_param,sweep_value,hidden_size,batch_size,lr,weight_decay,epochs_stage1,epochs_stage2,l1_lambda,n_select,loss,huber_beta,seed,selected_feature_count,val_loss,val_acc,val_off_by_one,test_loss,test_acc,test_off_by_one
20260309T030812Z,sanity,,,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.0867808637022972,0.52,1.0,0.1311125564575195,0.54,0.96
20260309T040650Z,sweep_lr_250,lr,3e-05,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.0852323883771896,0.46,1.0,0.1319787879829528,0.52,0.96
20260309T040647Z,sweep_lr_250,lr,1e-05,128,8,1e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.11588044911623,0.34,1.0,0.1419714135676622,0.36,1.0
20260309T040654Z,sweep_lr_250,lr,0.0001,128,8,0.0001,0.0,100,100,0.001,25,mse,1.0,42,25,0.1013503903150558,0.56,0.98,0.1321953104436397,0.52,0.94
20260309T040658Z,sweep_lr_250,lr,0.0003,128,8,0.0003,0.0,100,100,0.001,25,mse,1.0,42,25,0.1387386754155159,0.52,0.92,0.1453874938935041,0.56,0.94
20260309T040700Z,sweep_lr_250,lr,0.001,128,8,0.001,0.0,100,100,0.001,25,mse,1.0,42,25,0.1989599174261093,0.48,0.86,0.2045723995566368,0.56,0.86
