timestamp_utc,tag,sweep_param,sweep_value,hidden_size,batch_size,lr,weight_decay,epochs_stage1,epochs_stage2,l1_lambda,n_select,loss,huber_beta,seed,selected_feature_count,val_loss,val_acc,val_off_by_one,test_loss,test_acc,test_off_by_one
20260309T052703Z,ablation_id,,,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.058472491129629524,0.27125506072874495,0.7044534412955465,0.038206828019095335,0.29554655870445345,0.757085020242915
20260309T053838Z,ablation_basic,,,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,7,0.068469898782761,0.21052631578947367,0.631578947368421,0.06714480637237127,0.15789473684210525,0.562753036437247
20260309T054006Z,ablation_spatial,,,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.09835367876025829,0.18218623481781376,0.4939271255060729,0.09330987983085366,0.20647773279352227,0.4979757085020243
