timestamp_utc,tag,sweep_param,sweep_value,hidden_size,batch_size,lr,weight_decay,epochs_stage1,epochs_stage2,l1_lambda,n_select,loss,huber_beta,seed,selected_feature_count,val_loss,val_acc,val_off_by_one,test_loss,test_acc,test_off_by_one
20260309T060657Z,quick_lr,lr,1e-5,128,8,1e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.06355354746403964,0.2591093117408907,0.631578947368421,0.046708580498632635,0.2834008097165992,0.6963562753036437
20260309T060934Z,quick_lr,lr,3e-5,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05830147842073489,0.291497975708502,0.7004048582995951,0.038582638328374635,0.3117408906882591,0.7530364372469636
20260309T061310Z,quick_lr,lr,1e-4,128,8,0.0001,0.0,100,100,0.001,25,mse,1.0,42,25,0.05596212075216326,0.31983805668016196,0.728744939271255,0.03995835540537168,0.29554655870445345,0.7732793522267206
20260309T061415Z,refine_batch_lr3e4,batch_size,4,128,4,0.0003,0.0,100,100,0.001,25,mse,1.0,42,25,0.05775324199424099,0.3360323886639676,0.7004048582995951,0.039920110263020885,0.3319838056680162,0.7651821862348178
20260309T061936Z,refine_batch_lr3e4,batch_size,8,128,8,0.0003,0.0,100,100,0.001,25,mse,1.0,42,25,0.05675651458080722,0.3360323886639676,0.7489878542510121,0.037989240381037175,0.29959514170040485,0.757085020242915
20260309T062153Z,refine_batch_lr3e4,batch_size,16,128,16,0.0003,0.0,100,100,0.001,25,mse,1.0,42,25,0.056924367119908816,0.32388663967611336,0.7408906882591093,0.04268039537495688,0.27530364372469635,0.7327935222672065
20260309T062200Z,quick_batch,batch_size,4,128,4,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.058648024672483985,0.2834008097165992,0.7165991902834008,0.03898972750976983,0.2874493927125506,0.7732793522267206
20260309T062513Z,quick_batch,batch_size,8,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05830147842073489,0.291497975708502,0.7004048582995951,0.038582638328374635,0.3117408906882591,0.7530364372469636
